Sl. No,Text Review,Sentiment
11,"We stayed at this exotic place for 2 nights in August.
This is a wonderful property ; 140 rooms spread over green 56 acres of well maintained landscaped garden.

The property has tennis court,Golf course,cricket,Table tennis ,archery etc activities.

The lobby is huge with excellent ambience and has pool tables.

The rooms are clean,spacious,well maintained with flat TV screen,working desk,safe,spacious bed with balanced hardness/softness of mattress.
The bathroom has shower area as well as bathtub.

The property has swimming pool and bicycles are available on complimentary for total 2 hours per room.
It would have been great if bicycles are provided on complimentary basis for the entire duration of the stay rather than 2 hours per day.

The staff is outstanding in terms of hospitality.
The staff across main entrance,main desk,restaurants,activity desk,housekeeping,beach access gate is warm,polite and eager to assist you for your needs.

There is a direct access to the beach which is manned and towels are provided at the access gate.The beach is very clean and guarded.

The restaurant has amazing food with daily change in menus and live counter serving different delicacies.

We enjoyed every moment of our stay.Would like to return next time to stay for more number of nights.

Overall a amazing relaxing experience!!!
",1
12,"Can a hotel surpass itself? It can. This is my second visit and the third for my wife and each time the experience has surpassed itself. 
The property is beautiful, maintained with care and love. The lawns are neat and the pool is always sparkling. The rooms are tastefully done with a subtle touch.
But what is striking, and this is true of every single Taj property is the quality of their service. It goes beyond routine and touches your heart with warmth.
The checkin is super efficient and amazingly courteous with Siddharth Jain leading the way.
What amazes you again is the personalised service in the restauraunts. While everyone was great, I would like to mention Mr Ganga, who with his care and attentiveness feel really welcome , every single day. Words cannot describe his talent and skill. Mr David and Aslam were good as well and the ability of the restauraunt manager, Mr Sailesh ( sorry if I have got the name wrong) to supervise with a smile was amazing. He demonstrated great ability to make you feel wanted and wanting to return again.
The housekeeping was wonderful, silent yet superbly efficient.

Keep it up Taj Exotica. You are the best in Goa and ofcourse we will be back again next year. Hope you continue to do well...it would be difficult to be better than what you already are because you have set such great standards for yourself.",1
13,"Short Version:
Beautiful property, Amazing hospitality with attention to minutest of details, Great food, Clean and private beach

Long Version:
This was our second visit to a Taj property. Taj, I believe spoils you, you get used to highest standards in hospitality and luxury. When expectations are this high, there is always a chance that you can get disappointed. Taj Exotica even beats such high levels of expectations! :)

Amazingly beautiful and expansively green property! They have great food options. Their private beach is clean and a great experience.

If you have read this far enough, I don't think so you ll need additional convincing. Go there and check out what the fuss is about Taj Hospitality! You ll be surprised, pleasantly and happily :)",1
14,"Excellent ambiance, very good property, well appointed rooms, very well maintained lush green lawns. Overall an experience of a life time.. It was my second visit there. There was a special occasion for which we received very memorable surprises from the hotel sid.",1
15,"My husband and I stayed at the Taj Exotica in March this year for 6 days. I stayed previously with several friends at Park Hyatt 2 days (see my review).
At first I was a little disappointed because, compared to Hyatt, the hotel seemed deserted.
But in short time I realized that, in fact, the hotel was offering the extra peace and relaxation we needed before we returned home to our usual activities.
The hotel (at the same level rooms) was much luxurios and the gardens more manicured.
The golf course is well maintained. Pool, beach very clean and quiet.
The staff is very attentive, courteous and eager to serve you and help you.
Breakfast was impeccable.
We dined at the resort's restaurants only three times. In the first two evenings we ate in two restaurants nearly empty. When I saw the prices, I realised why. They were much biger than at the other very good restaurants in India. Most of the hotel guests ate often at restaurants near the hotel owned by locals or at the Lobster Shack, one of the hotel's restaurant that was very good. We had lunch there several times and dinner in the last evening of our stay.
We remember with pleasure our stay at the Taj Exotica and, if my husband and I will wish again to come in Goa for relaxation and a wonderful and peaceful place, we will definitely return.",1
16,"One of the best luxury hotels in Goa . Though it is little bit costly but mind blowing experience u will get here . The welcome by the hotel staff was too good. The rooms are absolutely fantastic . This hotel provides u great services including laundry , wifi , spa , bar , swimming pool , gym and so many others . The food is also good but Indian food is not too much good . Overall it was a very nice experience staying here . But one problem is that it is not in the middle of the Goa city so markets are far away from this hotel .

Stayed August 2016, travelled with family",1
17,"I stayed here for three nights. The cottages are lovely. The property is green and facing the beach. It's perfect for families with young kids or couples. We were there on a work trip. The property has many outdoor activities; football, cricket, golf, cycling, archery, super swimming pool. 
Service and food are excellent. The rooms are a bit old now but nothing to complain about. Can't wait for the new renovated rooms which will be available this season.
The property faces the beach. You can take a walk at the Pristine Goa shore or simply laze in your room.
The Jiva spa is a must visit and free yoga sessions are good too.
Perfect relaxation!! ",1
18,We have chosen Taj Exotica to celebrate my 60th birthday alongwith two more birthdays in family. The experience was beyond our expectations. The Taj people made our celebration a memorable occation with all thier personalized services and hospitality. Taj is Taj one must say.,1
19,"Taj Exotica is the flagship resort of the Taj Hotels group and it really lives up to its reputation as being a flagship resort. We took a family vacation to the hotel and stayed at one of their villas with the plunge pools. And the experience did not let us down one bit. From the arrival at the airport itself when we were provided a car to get to the resort (very helpful driver named Abdul), to the check in at the hotel...everything was handled extremely professionally and smoothly. The hotel itself was amazing...right on a wonderful beach (and quite a clean, uncluttered beach as well), with so many activities that you just don't have to leave the property to enjoy. The staff at the hotel was wonderful. Extremely courteous, and helpful, everybody made sure that our stay at the hotel was comfortable. Special mention needs to made here of the staff at Li Bai restaurant, who took special pains to cater to the different tastes of me and my wife (I like my food to be a bit spicy while she wanted a completely non-spicy dish). The chef (Mr. Rawat) was also extremely nice. The other staff, at the buffet (especially the chefs at the live counters who made all the wonderful stuff for me...double thumbs up), and the staff the children's center, and generally everybody was wonderful. I would rate the hotel and the experience as one of the best (if not the best) that I have experienced...and would love to come back again and stay there longer. If the staff at the hotel read this...thanks to all of you guys for making our stay so pleasant! Keep up the good work!",1
20,It was a great tym there is really loved it i hope to go there again??? and we really enjoyed our stay there....and I would say more people should go there and I am sure they will enjoy their tym ......thank u for ur service ....,1
21,It's always great coming back to the Exotica... their staff is warm and friendly and they remember each request you have ever had! They welcome us with custom made surprises and the fact that it's DOG FRIENDLY and fabulously LUXURIOUS makes it the perfect vacay spot!,1
22,"The local Goan cuisine restaurant is really really brilliant. The hotel is spread out and provides optimum privacy and serenity. A perfect place if you wish to disconnect for a few days, from routine.",1
23,"I can recommend very highly this hotel . Everything is perfect and the staff and the surrounding are excellent. Garden, beach, etc. are I must say the best in South Goa. During the season the tourists will enjoy the shack on the beach which is a must during the day or Sunset for a cocktail and dinner. You can select your own sea food and very fresh.",1
24,I had visited this hotel on the holiday trip of my company then I checked in and this hotel had a great employees and their services are excellent they will provide good food so I suggest every one when you go to goa their it has a very luxurious swimming pool please check into this place,1
25,"If you visit the goa to spend your holiday then you can visit the TAJ EXOT to spend your holiday with bast of cost, I told you if you visit the taj, then it is the best moment of your life , I believe it is true.",1
26,"We planned our Family get-together at Taj Exotica Goa, this year, We had cousins
from all over India, Nepal coming to Taj Exotica. We stayed from 6th to 9th August 2016. We were welcomed by a welcome song, they gave us scented towels to refresh ourselves. We stayed in room no. 524, nice spacious rooms, with a balcony, Bathroom with tub and Bath area. Few Apples and Banana in the room, nice computer table and chair. Separate fridge with cool drink, beer available. Coffee, Tea, Green, German tea, coffee, water bottles are available. Forest essentials Aloe Verra, soaps, body lotion, shampoo were excellent. took a few home. :) 1st Day we checked in at around 3:30 pm, and had a late Lunch, Chicken Katti Rolls and Biriyani. We entered our rooms, and took rest the 1st Day.. We had special Goan Dance program by the Staff of Taj which was enjoyed by Grace & Samantha, then we had a our 1st dinner Buffet with the family. 
Day - 2 - 7th August 2016, Got up early, to have my jog by the Beach, Cool breeze, the sound of the waves, the staff wish us Good Morning!. Had my morning coffee, devotion at our room. enjoyed the Buffet breakfast, Ham Bacon, Chicken sausage, pork sausage, Boiled fish, cut fruits, regular south Indian food, Varieties for Mousse cake, Dosais, special omlete, and many more. After breakfast the kids enjoyed the time with the cycles. We had a time for photos with the entire group. After the cycle ride, we got into the large swimming pool, which has a slide for Kids. We played volleyball, throwball in the pool with all the cousins until 12 noon, took bath to be ready for Lunch.. Enjoyed the variety of food items, and went for our afternoon nap.. slept till 4pm. Day - 3 - 8th August 2016, As usual, wake up, Go for a morning Jog in the beach, the waves, collect shells, wish everyone Good morning. Go cycling, and enjoy the breakfast. There is Cycles for all ages, 3 to 60. My kids enjoyed the cycling. After breakfast hit the swimming pool with family.",1
27,"We usually visit Goa every year to visit friends and to relax for 2 weeks. We always visit this property for lunch, and to have a drink by the pool. We are always impressed that the staff remember us even though we only visit once a year.
Grounds are immaculate, and there is direct access to a prestige beach.
Prices are more expensive than the norm for Goa, but good value nonetheless.",1
28,"One of the best Taj hotels across the country. Exotica is located at South Goa - Prime location. Has a massive builtup and resort area. 

(+)
Very nicely built. 
Massive garden area
Private beach
Refreshing architecture 
Very good food
High standard of hospitality 

(-)
Located far off from North Goa, where actual Goa action takes place",1
29,"Stayed here after a tour of northern India for some relaxation and we couldn't have chosen a more perfect place! The staff couldn't do enough for you, very friendly but remaining professional. The facilities were superb with a spa and activity centre, and a fantastic range of restaurants covering all cuisines. The bar area was delightful with a great range of drinks on offer and a daily 'special'. Golf course, pool, beach, all very well tended. It was an extremely relaxing stay and everything was of the highest quality, which is why it is very popular with Bollywood stars and Indian sports stars. Some guests clearly chose to eat and drink outside the hotel every day on the cheap, not sure why you'd stay in a beautiful hotel like this with fantastic restaurants to then trail out for standard fayre and cheap booze.",1
30,Absolutely lovely hotel. Would come again. Very nice room.. courteous staff and well managed. Lovely hotel to stay and good rate according to hotel brand name. Front office staff are friendly and smiling face.,1
31,Great relaxing stay at this Taj hotel. Service is great and rooms comfortable and clean. The hotel is undergoing a refurbishment and the rooms are beginning to look a little tired - especially the bathrooms.,1
32,"We stayed one night at Taj Exotica and since we checked in until we checked out everything was just perfect. Hotel staff is very friendly, polite and always smiling. We used the Spa for a couple massage and it was a wonderful experience. We had the Tea timing at the swimming pool and it was very nice. The amenities of the hotel are just breathtaking and the garden something to be seen. I really recommend this hotel.",1
33,"Perfect Luxury that was reasonably priced. Perfect location, serene beauty with lush green landscape. Great Spa, Easy beach access with all bells & whistles. Will certainly recommend this place to friends & family. Thank you to ALL the staff members & Management for a great experience.",1
34,"This is the fourth time, I have stayed at a Taj hotel. This is the fourth time I can say the service has bee. Excellent. The food was also in all restaurants fantastic. I can only congratulate your hotel on the very high standards. I particularly want to praise Santosh who every night cleaned our room. His politeness and proactive approach was excellent. Also your buggy drivers were all helpful and indeed security who were increditwhen by mother in law thought she had lost her bracelet. The effort tak n to look for it was more than one would expect. Finally I think his name is Sathivraj. He was always very helpful at breakfast. I know how busy you are but I e had a large family and three Kodachrome need 5, two weeks need 2. He always helped broker my things. It is unfair to name individuals however, as I have to say that all staff have been a excellent. Eg I could add Ashton at the Lobster Shack. The list is endless. 
The only criticism I have is that the room bathrooms could do with a little modernising. They look a little dated now. 

However otherwise it has been a fantastic stay. ",1
35,"Just back from a 4 night holiday to this property. The place is amazing, wonderful blend of nature & luxury. There is a renovation in progress but u wouldn't even notice. Stayed in the luxury sunset view villa with private pool which was very nice although the bathroom was a bit dated. The air conditioned area of the restaurant should have more tables & the buffet should have more non vegetarian options for meat / seafood lovers like us. Staff is very attentive, helpful & cater to all your whims & fancies, u can't go wrong with this place - just go for it!!

Stayed May 2016, travelled with family
Less ",1
36,"This was our fist stop over in Asian holiday.it was an placenta stay in taj.very friendly staff little bit disappointed on front desk but over all we enjoyed.room is very big and big flat screen tv perfect.
Huge breakfast on buffet thank you very much",1
37,The hotel is a mini Goa by itself..beautiful locale..good food..friendly staff..overtly a pleasure stay...away from the maddening crowd of North Goa...pure rest in a clean environment...if you are looking for a holiday for self or gifting someone a royal holiday this is the place to stay,1
38,"After reading all the excellent reviews we stayed there for 2 nights, and the experience was GOOD but not EXCELLENT. We were made to wait for more than 1.5 hours to get the room even when we were travelling with an infant and were staying at the pool villa, The booking we got online was without breakfast, and when we asked the Front office folks to give us some package for meals ( like Breakfast + Dinner ) etc which is common at Goa, we were replied with a NO. there was no flexibility no WOW factor offered to us. My 3 year old daughter asked for welcome drink but was not offered by the steward who was serving to other adults. That was quite unacceptable behavior. The Property is good its massive. Humongous Swimming pool and Green areas are there to welcome all guests. There are Kids activities as well to keep the little ones busy. The food is OK but is SUPER EXPENSIVE. There is no discount for the in house guests as well. A property which could have easily been rated 5* had they focused just a bit on Customer service.",1
39,"We visited for 4 days in Mid April, to attend a wedding celebration, and found the Taj to be a spectacular property with stunning grounds, and access to a beautiful beach. Most of the rooms are large bungalows(or two storey Villas) cleverly located in amongst the tropical gardens. The central Hotel building resembles a Maharaja's palace with a spectacular atrium, where a magnificent Buffet was served to our party on the first night of our stay. Indeed all the food served at each meal was outstanding. The hotel staff managed the wedding day in an excellent fashion. Our only small issue would be that upon checking out bills for most of our party had been prepared using standard charges, rather than the pre arranged discounted rates for our large party.
After some discussion the Manager agreed to rectify his error.",1
40,"I had visited the restaurant for lunch today with my family. The sea facing view is excellent. Worth going once to experience this.

The ambience and the service was very good.

The F&B manager was very co-operative.
Thank you for for nice hospitaiblity",1
41,Have been at this hotel before. Layout and service is just great. I love this hotel will definitely go again. Prime minister of India and President of Russia stayed the same week. Don't have to say much.,1
42,"Loved the humongous property and its ""family like"" staff. Food and drinks were a bit expensive but you will know where that extra money went when you taste it. Location couldn't be any better. We stayed in the Garden villa room, the view was great, mattress and pillows were comfortable but bathroom was not up to the mark. Check-in and check-out were smooth. Smiling staff and great pool. They deliver fresh fruit basket and news paper everyday in room. We were allowed late check-out as our flight was later in evening. They came to see us off when we were leaving which is a nice gesture.
Totally recommended. 
Special thanks to Kunal on the reception for making our stay memorable.",1
43,"1. In the main building in the hallway between the hull, where restaurants and housing where rooms, there is a door for personnel. Due to this door without ceasing all day you can hear the hum and buzz of aggregates of ventilation and conditioning systems, noise levels exceeded all permissible noise levels to world standards, that's not in my nature to such level hotels as your hotel. My husband noise control specialist and was extremely outraged by such needs. There are effective methods to reduce noise. All systems engineering equipment of the hotel are extremely poor and rundown condition and require immediate diagnosis and repair. 2. The number of deck chairs and umbrellas on the beach at the sea does not match and very little for such a number of people who live in the hotel. 3. Why is the golf courses do not play people in golf. Very much so upset. Itself does not play, but so nice to look at bums stupidly chance dispense balls. 4. very few dishes from fish that swims in the sea nearby, as the menu for breakfast, lunch and dinner. This is particularly true for breakfast. 5. threesome Lived in room, but every day brought fruit, calculated on double room: 2 banana, Apple and pear. I understand that this is a compliment. But you should understand that we have because of the bananas or fight or quarrel. neuzheli when triple stays cannot be put for example-three banana. 6. What's that have to do with ponds, which are located in a residential area. This is especially true of the reservoir in the right part of the site if you look at the sea. Stay close to him. Worth creepy smell and how people live there in private. 7. Understand that available on site shops, have no direct connection to the hotel, but most Please note jewelry store owners to set reasonable, rigid and adequate prices for their goods. It still shop on site 5-star star hotel rather than a market where we must and we can haggle. 8. Need to breed and the lie, which would oversee the population of mice, rats and snakes, Yes at the same time with the cats would have understood. Twice have had unpleasant encounters at with rats who brazenly not nobody asking nursed through the corridors of the hotel in the evening. 9. Staff in restaurants a lot and especially at breakfast. There were several occasions when the waiter asked on their own initiative, that you bring coffee or tea? and vanished in the -20 15 minutes or forgot about posted order. 10. in General, the hotel liked more than upset. Thank you so much. Had a wonderful 10 days no were marred and only make back to GOA again and again. The observations made to the leadership was what to do during working hours.",1
44,"I had attended an Int'l conference here in 2002. I promised myself to return again sometime again soon since it was a rushed week. Finally I was able to return here after 15 yrs. I noticed many changes since last visit. This property was barrier free then, but not anymore. Must be due to security reasons. I enjoyed my overall stay at this hotel. Wednesday night was buffet night and there were variety of delicious food. If anything to suggest, do not visit during the monsoon season. It being low season they were also repairing their property therefore no sleep until late morning, which was not fun for a person on vacation. I had few bad experiences due to weather and construction related issues which was unfortunate but the Resident Manager, Siddhartha did his best to accommodate and make sure my stay was memorable. Looking forward to visiting Goa's Taj Exotica again during the spring season soon. I just hope that I won't have to wait another 15 years to visit this beautiful property again.",1
45,Travelled here in December was nice to see the staff welcoming especialy Namits.Amazing situ on Benaulim Beach. Plenty of loungers on a great pool . Great service throughout. Loved my staff.Arnab helped me with food options.Ganga at coffee shop was excellent he served us really well.will definetely come back.,1
46,"Fantastically located hotel in front of Galle Face. We stayed in the club rooms, which are spacious and give access to the Executive lounge and benefits. The hotel has a pool and gym, the breakfast buffet is fantastic. At times and in places the Taj is looking tired.. I guess when the new hotels they are building next door are complete they will have to up their game to compete",1
47,I went to celebrate the new yr and it became the best yr of my life by visiting there the staff members were very good in nature as can be seen by there talk and it also pocket freindly so i request to uall also visit and enjoyHope to visit soon as i loved the facilties...,1
48,"Good place for a relaxing stay, with the view and the grass. Golf course OK with good coach (Vijay). Breakfast not enough International. You can diner on the beach in the area (better than in the restaurants inside the hotel). Room comfortable, but you can sometimes hear the neighboor.",1
49,"Located far from the colourful hustle and bustle which is Goa, this property is perfect for a relaxed family getaway. We were a family of 6 adults, there to celebrate my Mom's 75th birthday. Lovely huge rooms and baths. In fact, the luxury rooms and suites are better than the villa rooms with plunge pools. The villas have the old vintage style decor, so the baths have the look and feel of old, outdated fittings. Our preference is for the modern, updated style, so had the folks moved out of the plunge pool villa to an executive suite. Food and service excellent as usual. The extra arrangements of a cake and room decorations were wonderful too. Two thumbs up!",1
50,We stayed for 2 nights with kids at this place. We had a villa with garden view for one night and ocean front the other which are recently built (or renovated) and looks more modern. Beach is about 200 meters away from the property. South Goa beach are usually not crowded. Kids enjoyed pool and children's activities. Staff is good. If you stay for 2 nights or more ground transportation to and from Airport or Train station is free.,1
51,"I have been visiting this hotel for 10 years. The staff have become very greedy, food price has increased by 10 times, There were no beach beds as they were banned by the government which they did not inform the clients. Very Poor show on hotels part",0
52,"Great property, great location. BUT The service is not as great as expected. They don't have their own fleet of cars and drivers, it's all outsourced so it's a luck of the draw if you get anyone decent. Our airport pickup was not very professional. Made us walk for about 10mins on the road weaving in and around moving cars and then left us to wait in the middle of a junction where cars started going around us, like we were a roundabout, quiet an unnerving experience. The car that picked us up was filthy and the driver was not professional!!
When we arrived at the hotel the welcome was not very warm. We had to wait 6 hours for our room. We were not even offered water or refreshments while we waited! 

This hotel also will not organize any tours for their guests, guests are expected to organize everything themselves!! We were just given a map and told to call up and arrange ourselves!!

I also noticed most of the staff on the ground are motivated out of fear! I asked one guy who was cleaning to give me directions within the hotel and he told me he couldn't walk me to the area I wanted to get to because if he was seen with me his bosses would swear at him and insult him. I feel bad paying premium rates to an organization who treat their staff this way. Taj Exotica, This is 2016!!
This is our first experience of Taj hotels, will unlikely stay with them again.
To complete this review with a positive, the food is good, but some of the restaurant staff clearly do not have the training. It's not their fault, it's the management!! 
The breakfast crew were the best !!",0
53,"Stayed in the Taj Exotica for 5 nights between 5th and 10th October 2016. Originally we had booked for 9 nights, but before we even left Scotland, we had a telephone call from the lovely Indira (Sales & Marketing Manager) to explain that the BRICS Summit (world leaders and trade politicians) were taking over the hotel on 12th October, and we would have to be moved to another Taj Hotel. As it turned out, we actually left 2 further days early, because the BRICS Summit was so invasive, so noisy, so disruptive and so inconvenient. I have to emphasise that Taj Hotels had no control over this - in fact, we felt really sorry for the hotel staff who were being controlled just as much as us. Restaurants were being closed; bars were being emptied; furniture moved; security was becoming intense; and our peace and privacy was being taken over by construction workers, media people and officials. Basically, the hotel was being taken over by the Indian Government under very strict security, and we had no recourse. I cannot thank Taj Hotels enough, for their tolerance, their understanding and their service, during this very challenging period.
The hotel is very beautiful - a little old in places, but our rooms were really lovely, and the staff were all very friendly and helpful. The 5 days and nights we had at the Exotica were good. We were moved to the Vivanta by Taj Fort Aguada in North Goa, where we were given amazing upgrades by way of compensation. The hotel staff, and Indira D'Lima in particular, could not have been more helpful. However, the hotel was being renovated around us, for the BRICS summit - everything was being painted, mended, cleaned and smartened up. My friend went to the Spa for a pedicure and her feet were coated in silver paint from the foot basin - not a good experience.
All in all, I am sure this is normally a lovely hotel, but we saw it in very difficult circumstances for tourists, and although Taj Hotels did their very best for us and we totally appreciated that, the Indian Government should be ashamed that they treated their tourists so badly, to make way for world politicians. I would normally rate this hotel good or excellent, but on this occasion, it has to be poor.",0
54,"Rooms are old and need to be refurbished, cleanliness of room really average. During my stay, constant motor noise of grass cutter or high pressure water jet. food of the Indian restaurant is average (only the Chinese restaurant Li Bai is good), staff is friendly but not really skilled. Price is too high for the offered services.",0
55,"There are better places I believe to choose.
This is not the Taj which we used to experience . I am thoroughly disappointed with the the way they manage the guests.
First of all they don't care for room preference when I asked for a room close to beach they gave me the farthest what's the point paying such steep price.
Although the servicing folks and are nice . Front desk persons lack experience. Don't care for any choice of the customer.
My colleague had a horrible experience they complained that he spilled ink on the bedsheets which is cheap allegation , they even asked him to pay money . I think pretty soon they will ask you to pay for so
Spilling water in the bather and sand in the room. This is not Taj !!",0
